"sample_PlateID","BLUD_or_SPBL","Plate","Antibiotic","Rep","WELL","Volume","Dilution","BACTERIA","NA"
"A1_Plate25","BLUD","25","None",1,"A1","5.0","5.0","13","0"
"A2_Plate25","BLUD","25","None",1,"A2","5.0","5.0","17","0"
"A3_Plate25","BLUD","25","None",1,"A3","5.0","5.0","20","0"
"A4_Plate25","BLUD","25","None",1,"A4","5.0","5.0","25","0"
"A5_Plate25","BLUD","25","None",1,"A5","5.0","5.0","20","0"
"A6_Plate25","BLUD","25","None",1,"A6","5.0","5.0","28","0"
"A7_Plate25","BLUD","25","None",1,"A7","5.0","5.0","19","0"
"A8_Plate25","BLUD","25","None",1,"A8","5.0","5.0","24","0"
"A9_Plate25","BLUD","25","None",1,"A9","5.0","5.0","26","0"
"A10_Plate25","BLUD","25","None",1,"A10","5.0","5.0","20","0"
"A11_Plate25","BLUD","25","None",1,"A11","5.0","5.0","29","0"
"A12_Plate25","BLUD","25","None",1,"A12","5.0","5.0","13","0"
"B1_Plate25","BLUD","25","None",1,"B1","5.0","5.0","14","0"
"B2_Plate25","BLUD","25","None",1,"B2","5.0","5.0","18","0"
"B3_Plate25","BLUD","25","None",1,"B3","5.0","5.0","31","0"
"B4_Plate25","BLUD","25","None",1,"B4","5.0","5.0","28","0"
"B5_Plate25","BLUD","25","None",1,"B5","5.0","5.0","17","0"
"B6_Plate25","BLUD","25","None",1,"B6","5.0","5.0","24","0"
"B7_Plate25","BLUD","25","None",1,"B7","5.0","5.0","20","0"
"B8_Plate25","BLUD","25","None",1,"B8","5.0","5.0","20","0"
"B9_Plate25","BLUD","25","None",1,"B9","5.0","5.0","24","0"
"B10_Plate25","BLUD","25","None",1,"B10","5.0","5.0","12","0"
"B11_Plate25","BLUD","25","None",1,"B11","5.0","5.0","30","0"
"B12_Plate25","BLUD","25","None",1,"B12","5.0","5.0","24","0"
"C1_Plate25","BLUD","25","None",1,"C1","5.0","5.0","8","0"
"C2_Plate25","BLUD","25","None",1,"C2","5.0","5.0","15","0"
"C3_Plate25","BLUD","25","None",1,"C3","5.0","5.0","21","0"
"C4_Plate25","BLUD","25","None",1,"C4","5.0","5.0","23","0"
"C5_Plate25","BLUD","25","None",1,"C5","5.0","5.0","27","0"
"C6_Plate25","BLUD","25","None",1,"C6","5.0","5.0","22","0"
"C7_Plate25","BLUD","25","None",1,"C7","5.0","5.0","23","0"
"C8_Plate25","BLUD","25","None",1,"C8","5.0","5.0","32","0"
"C9_Plate25","BLUD","25","None",1,"C9","5.0","5.0","22","0"
"C10_Plate25","BLUD","25","None",1,"C10","5.0","5.0","21","0"
"C11_Plate25","BLUD","25","None",1,"C11","5.0","5.0","38","0"
"C12_Plate25","BLUD","25","None",1,"C12","5.0","5.0","14","0"
"D1_Plate25","BLUD","25","None",1,"D1","5.0","5.0","11","0"
"D2_Plate25","BLUD","25","None",1,"D2","5.0","5.0","11","0"
"D3_Plate25","BLUD","25","None",1,"D3","5.0","5.0","24","0"
"D4_Plate25","BLUD","25","None",1,"D4","5.0","5.0","32","0"
"D5_Plate25","BLUD","25","None",1,"D5","5.0","5.0","23","0"
"D6_Plate25","BLUD","25","None",1,"D6","5.0","5.0","29","0"
"D7_Plate25","BLUD","25","None",1,"D7","5.0","5.0","21","0"
"D8_Plate25","BLUD","25","None",1,"D8","5.0","5.0","14","0"
"D9_Plate25","BLUD","25","None",1,"D9","5.0","5.0","37","0"
"D10_Plate25","BLUD","25","None",1,"D10","5.0","5.0","17","0"
"D11_Plate25","BLUD","25","None",1,"D11","5.0","5.0","19","0"
"D12_Plate25","BLUD","25","None",1,"D12","5.0","5.0","26","0"
"E1_Plate25","BLUD","25","None",1,"E1","5.0","5.0","17","0"
"E2_Plate25","BLUD","25","None",1,"E2","5.0","5.0","14","0"
"E3_Plate25","BLUD","25","None",1,"E3","5.0","5.0","21","0"
"E4_Plate25","BLUD","25","None",1,"E4","5.0","5.0","18","0"
"E5_Plate25","BLUD","25","None",1,"E5","5.0","5.0","23","0"
"E6_Plate25","BLUD","25","None",1,"E6","5.0","5.0","24","0"
"E7_Plate25","BLUD","25","None",1,"E7","5.0","5.0","13","0"
"E8_Plate25","BLUD","25","None",1,"E8","5.0","5.0","15","0"
"E9_Plate25","BLUD","25","None",1,"E9","5.0","5.0","23","0"
"E10_Plate25","BLUD","25","None",1,"E10","5.0","5.0","28","0"
"E11_Plate25","BLUD","25","None",1,"E11","5.0","5.0","33","0"
"E12_Plate25","BLUD","25","None",1,"E12","5.0","5.0","23","0"
"F1_Plate25","BLUD","25","None",1,"F1","5.0","5.0","10","0"
"F2_Plate25","BLUD","25","None",1,"F2","5.0","5.0","11","0"
