"sample_PlateID","BLUD_or_SPBL","Plate","Antibiotic","Rep","WELL","Volume","Dilution","BACTERIA","NA","Sex","Row","Col","Age","Time_post_injection","Well_with_sample","sample_ID_new"
"A1_Plate25","BLUD","25","None",1,"A1","5.0","5.0","13","0","Female","A",1,"Young",1,"Yes","A1_Time_post_injection_1"
"A2_Plate25","BLUD","25","None",1,"A2","5.0","5.0","17","0","Female","A",2,"Young",1,"Yes","A2_Time_post_injection_1"
"A3_Plate25","BLUD","25","None",1,"A3","5.0","5.0","20","0","Female","A",3,"Old",1,"Yes","A3_Time_post_injection_1"
"A4_Plate25","BLUD","25","None",1,"A4","5.0","5.0","25","0","Female","A",4,"Old",1,"Yes","A4_Time_post_injection_1"
"A5_Plate25","BLUD","25","None",1,"A5","5.0","5.0","20","0","Female","A",5,"Young",2,"Yes","A5_Time_post_injection_2"
"A6_Plate25","BLUD","25","None",1,"A6","5.0","5.0","28","0","Female","A",6,"Young",2,"Yes","A6_Time_post_injection_2"
"A7_Plate25","BLUD","25","None",1,"A7","5.0","5.0","19","0","Female","A",7,"Old",2,"Yes","A7_Time_post_injection_2"
"A8_Plate25","BLUD","25","None",1,"A8","5.0","5.0","24","0","Female","A",8,"Old",2,"Yes","A8_Time_post_injection_2"
"A9_Plate25","BLUD","25","None",1,"A9","5.0","5.0","26","0","Female","A",9,"Young",3,"Yes","A9_Time_post_injection_3"
"A10_Plate25","BLUD","25","None",1,"A10","5.0","5.0","20","0","Female","A",10,"Young",3,"Yes","A10_Time_post_injection_3"
"A11_Plate25","BLUD","25","None",1,"A11","5.0","5.0","29","0","Female","A",11,"Old",3,"Yes","A11_Time_post_injection_3"
"A12_Plate25","BLUD","25","None",1,"A12","5.0","5.0","13","0","Female","A",12,"Old",3,"Yes","A12_Time_post_injection_3"
"B1_Plate25","BLUD","25","None",1,"B1","5.0","5.0","14","0","Female","B",1,"Young",1,"Yes","B1_Time_post_injection_1"
"B2_Plate25","BLUD","25","None",1,"B2","5.0","5.0","18","0","Female","B",2,"Young",1,"Yes","B2_Time_post_injection_1"
"B3_Plate25","BLUD","25","None",1,"B3","5.0","5.0","31","0","Female","B",3,"Old",1,"Yes","B3_Time_post_injection_1"
