"sample_ID","Sex","Plate","Row","Col","Age","Time_post_injection"
"A1_Plate25","Female","25","A",1,"Young",1
"A2_Plate25","Female","25","A",2,"Young",1
"A3_Plate25","Female","25","A",3,"Old",1
"A4_Plate25","Female","25","A",4,"Old",1
"A5_Plate25","Female","25","A",5,"Young",2
"A6_Plate25","Female","25","A",6,"Young",2
"A7_Plate25","Female","25","A",7,"Old",2
"A8_Plate25","Female","25","A",8,"Old",2
"A9_Plate25","Female","25","A",9,"Young",3
"A10_Plate25","Female","25","A",10,"Young",3
"A11_Plate25","Female","25","A",11,"Young",3
"A12_Plate25","Female","25","A",12,"Young",3
"B1_Plate25","Female","25","B",1,"Young",1
"B2_Plate25","Female","25","B",2,"Young",1
"B3_Plate25","Female","25","B",3,"Old",1
"B4_Plate25","Female","25","B",4,"Old",1
"B5_Plate25","Female","25","B",5,"Young",2
"B6_Plate25","Female","25","B",6,"Young",2
"B7_Plate25","Female","25","B",7,"Old",2
"B8_Plate25","Female","25","B",8,"Old",2
"B9_Plate25","Female","25","B",9,"Young",3
"B10_Plate25","Female","25","B",10,"Young",3
"B11_Plate25","Female","25","B",11,"Young",3
"B12_Plate25","Female","25","B",12,"Young",3
"C1_Plate25","Female","25","C",1,"Young",1
"C2_Plate25","Female","25","C",2,"Young",1
"C3_Plate25","Female","25","C",3,"Old",1
"C4_Plate25","Female","25","C",4,"Old",1
"C5_Plate25","Female","25","C",5,"Young",2
"C6_Plate25","Female","25","C",6,"Young",2
"C7_Plate25","Female","25","C",7,"Old",2
"C8_Plate25","Female","25","C",8,"Old",2
"C9_Plate25","Female","25","C",9,"Young",3
"C10_Plate25","Female","25","C",10,"Young",3
"C11_Plate25","Female","25","C",11,"Young",3
"C12_Plate25","Female","25","C",12,"Young",3
"D1_Plate25","Female","25","D",1,"Young",1
"D2_Plate25","Female","25","D",2,"Young",1
"D3_Plate25","Female","25","D",3,"Old",1
"D4_Plate25","Female","25","D",4,"Old",1
"D5_Plate25","Female","25","D",5,"Young",2
"D6_Plate25","Female","25","D",6,"Young",2
